coin,address
Bitcoin,bc1qjzn4lc744c5vhv506gad7xymxq2tukts9lt0nt
Ethereum,0x1B903488af459BF519c69DB1806F96DDbDB90Be9
USDC (Ethereum Network),0x1B903488af459BF519c69DB1806F96DDbDB90Be9
BUSD (Ethereum Network),0x1B903488af459BF519c69DB1806F96DDbDB90Be9
USDT (Ethereum Network),0x1B903488af459BF519c69DB1806F96DDbDB90Be9
Monero,457KAL4xoZbRVrBLKtJkkBVxyohmgip6JJireCBgf7o7R98ZSktFXKK1qrKErpMGejMBALwSSvE1U2XZRWHtfj7JFagd4Lu
XRP,rMsoqPngrcDf8Z6Dgje1EBie8iATFGyYKy
Dogecoin,D9PCtpEWiU8RJks4vYya7JdWRKn4YgcbXf
Uniswap,0x1B903488af459BF519c69DB1806F96DDbDB90Be9
Nano,nano_145cjbbyncjwbmw4poh1bok1atd4bmdshzr1aked81cadn98rs3fznjj5fou
Cardano,addr1qxt5svtax5vt9laucratsj9cewrvsl379c8jqckegswnn35hfqch6dgcktlmes86hpyt3juxeplruts0yp3dj3qa88rqdkysyj
Polkadot,15emCaPfkKw8khR8zHfWJNAuo8UwtBVFu6AztpXyeQXhEvEH
Litecoin,LSx8d48GMyT1AMpZzSb2W5iiZMnBX2hdpr